Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
OAF,387.0,liver protein (nTPM + cluster),liver: 387.0,Cluster 83: Liver - Metabolism
ASL,386.7,liver protein (nTPM + cluster),liver: 386.7,Cluster 1: Liver & Kidney - Metabolism
SC5D,381.7,liver protein (all 3),liver: 381.7,Cluster 69: Liver - Oxidoreductase activity
UGT1A4,381.5,liver protein (all 3),liver: 381.5,Cluster 31: Liver - Plasma proteins
MPST,381.2,liver protein (all 3),liver: 381.2,Cluster 83: Liver - Metabolism
APOM,381.2,liver protein (all 3),liver: 381.2,Cluster 1: Liver & Kidney - Metabolism
CFHR3,381.0,liver protein (nTPM + cluster),liver: 381.0,Cluster 31: Liver - Plasma proteins
MGST2,380.5,liver protein (nTPM + cluster),liver: 380.5,Cluster 37: Liver & Intestine - Lipid metabolism
NNMT,379.3,liver protein (nTPM + cluster),liver: 379.3,Cluster 83: Liver - Metabolism
HMGCS1,379.0,liver protein (nTPM + cluster),liver: 379.0,Cluster 37: Liver & Intestine - Lipid metabolism
GJB1,376.0,liver protein (all 3),brain: 188.9;liver: 376.0;pancreas: 110.1,Cluster 69: Liver - Oxidoreductase activity
C4B,375.4,liver protein (all 3),adrenal gland: 214.6;liver: 375.4,Cluster 83: Liver - Metabolism
RGN,372.1,liver protein (all 3),adrenal gland: 179.0;liver: 372.1,Cluster 83: Liver - Metabolism
OTC,366.1,liver protein (all 3),intestine: 109.3;liver: 366.1,Cluster 83: Liver - Metabolism
PCK2,365.0,liver protein (all 3),intestine: 190.6;kidney: 95.5;liver: 365.0,Cluster 37: Liver & Intestine - Lipid metabolism
ALDH1L1,358.6,liver protein (all 3),liver: 358.6,Cluster 69: Liver - Oxidoreductase activity
ACADM,356.4,liver protein (nTPM + enrichment),liver: 356.4;skeletal muscle: 367.9;tongue: 458.9,Cluster 35: Non-specific - Mitochondria
ALDH6A1,355.6,liver protein (all 3),kidney: 365.2;liver: 355.6,Cluster 1: Liver & Kidney - Metabolism
ACSM2A,351.8,liver protein (all 3),kidney: 267.2;liver: 351.8,Cluster 1: Liver & Kidney - Metabolism
ACADSB,349.2,liver protein (all 3),liver: 349.2,Cluster 1: Liver & Kidney - Metabolism
CD14,347.3,liver protein (all 3),liver: 347.3,Cluster 11: Liver - Plasma proteins
FDPS,344.6,liver protein (nTPM + cluster),liver: 344.6,Cluster 37: Liver & Intestine - Lipid metabolism
GCHFR,341.6,liver protein (nTPM + cluster),liver: 341.6,Cluster 1: Liver & Kidney - Metabolism
SERPINA10,338.3,liver protein (all 3),liver: 338.3,Cluster 31: Liver - Plasma proteins
TFR2,337.4,liver protein (all 3),liver: 337.4,Cluster 83: Liver - Metabolism
ABAT,335.3,liver protein (all 3),brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0,Cluster 69: Liver - Oxidoreductase activity
